81). 	 Conctato a pelota   	5 	Indios
82). 	 out   	5 	Indios
83). 	 foul   	6 	Indios
84). 	 1 bola   	6 	Indios
85). 	 Conctato a pelota   	6 	Indios
86). 	 out   	6 	Indios
87). 	 Cambio de juego   	1 	Indios
88). 	 1 bola   	4 	Yankees
89). 	 foul   	4 	Yankees
90). 	 strike   	4 	Yankees
91). 	 2 bola   	4 	Yankees
92). 	 foul   	4 	Yankees
93). 	 Conctato a pelota   	4 	Yankees
94). 	 out   	4 	Yankees
95). 	 Conctato a pelota   	5 	Yankees
96). 	 out   	5 	Yankees
97). 	 strike   	6 	Yankees
98). 	 Conctato a pelota   	6 	Yankees
99). 	 out   	6 	Yankees
100). 	 Cambio de juego   	2 	Yankees
101). 	 1 bola   	7 	Indios
102). 	 Conctato a pelota   	7 	Indios
103). 	 out   	7 	Indios
104). 	 strike   	8 	Indios
105). 	 Conctato a pelota   	8 	Indios
106). 	 out   	8 	Indios
107). 	 foul   	9 	Indios
108). 	 foul   	9 	Indios
109). 	 Conctato a pelota   	9 	Indios
110). 	 hit   	9 	Indios
111). 	 Movimiento a 1er. base   	9 	Indios
112). 	 robo de base   	9 	Indios
113). 	 Movimiento a 2da. base   	9 	Indios
114). 	 foul   	1 	Indios
115). 	 strike   	1 	Indios
116). 	 robo de base   	9 	Indios
117). 	 Movimiento a 3er. base   	9 	Indios
118). 	 robo de base   	9 	Indios
119). 	 Movimiento a home   	9 	Indios
120). 	 strike   	1 	Indios
121). 	 foul   	1 	Indios
122). 	 Conctato a pelota   	1 	Indios
123). 	 out   	1 	Indios
124). 	 Cambio de juego   	1 	Indios
125). 	 Conctato a pelota   	7 	Yankees
126). 	 hit   	7 	Yankees
127). 	 Movimiento a 1er. base   	7 	Yankees
128). 	 foul   	8 	Yankees
129). 	 foul   	8 	Yankees
130). 	 strike   	8 	Yankees
131). 	 ponche   	8 	Yankees
132). 	 strike   	9 	Yankees
133). 	 strike   	9 	Yankees
134). 	 doble play   	9 	Yankees
135). 	 out   	7 	Yankees
136). 	 out   	9 	Yankees
137). 	 Cambio de juego   	2 	Yankees
138). 	 Conctato a pelota   	2 	Indios
139). 	 hit   	2 	Indios
140). 	 Movimiento a 1er. base   	2 	Indios
141). 	 foul   	3 	Indios
142). 	 foul   	3 	Indios
143). 	 strike   	3 	Indios
144). 	 ponche   	3 	Indios
145). 	 strike   	4 	Indios
146). 	 robo de base   	2 	Indios
147). 	 Movimiento a 2da. base   	2 	Indios
148). 	 Conctato a pelota   	4 	Indios
149). 	 out   	4 	Indios
150). 	 Conctato a pelota   	5 	Indios
151). 	 out   	5 	Indios
152). 	 Cambio de juego   	1 	Indios
153). 	 foul   	1 	Yankees
154). 	 strike   	1 	Yankees
155). 	 1 bola   	1 	Yankees
156). 	 foul   	1 	Yankees
157). 	 Conctato a pelota   	1 	Yankees
158). 	 out   	1 	Yankees
159). 	 home run   	2 	Yankees
160). 	 Movimiento a 1er. base   	2 	Yankees
161). 	 Movimiento a 2da. base   	2 	Yankees
162). 	 Movimiento a 3er. base   	2 	Yankees
163). 	 Movimiento a home   	2 	Yankees
164). 	 1 bola   	3 	Yankees
165). 	 2 bola   	3 	Yankees
166). 	 foul   	3 	Yankees
167). 	 Conctato a pelota   	3 	Yankees
168). 	 hit   	3 	Yankees
169). 	 Movimiento a 1er. base   	3 	Yankees
170). 	 Toque de bolas   	4 	Yankees
171). 	 Movimiento a 2da. base   	3 	Yankees
172). 	 Movimiento a 1er. base   	4 	Yankees
173). 	 out   	4 	Yankees
174). 	 1 bola   	5 	Yankees
175). 	 strike   	5 	Yankees
176). 	 Conctato a pelota   	5 	Yankees
177). 	 hit   	5 	Yankees
178). 	 Movimiento a 3er. base   	3 	Yankees
179). 	 Movimiento a 1er. base   	5 	Yankees
